"filename", "language", "JavaScript", "Vue", "JSON", "SCSS", "XML", "Markdown", "HTML", "CSS", "Log", "comment", "blank", "total"
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\auth\auth.controller.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 44
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\auth\auth.routes.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\auth\auth.service.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\board\board.controller.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\board\board.routes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\board\board.service.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 76
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\socket\socket.routes.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\user\user.controller.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\user\user.routes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\api\user\user.service.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 93
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\config\dev.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\config\index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 12
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\config\prod.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\data\trello.json", "JSON", 0, 0, 1106, 0, 0, 0, 0, 0, 0, 0, 1, 1107
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\logs\backend.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 1089, 0, 1, 1090
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\middlewares\requireAuth.middleware.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\package-lock.json", "JSON", 0, 0, 2991, 0, 0, 0, 0, 0, 0, 0, 1, 2992
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\package.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\css\app.ccbcc9ed.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\css\chunk-vendors.17bda910.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\img\activities.a3fe9e3c.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\img\attach.16a6b7ed.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\img\card.f034202f.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\img\checklist.82ce918e.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\img\clock-white.cf2a4539.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Eden\Desktop\קורס WEB\trililo\backend\public\img\clock.8e82f21f.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
